sessionId,recordIndex,uploaded,pressure,temperature,light,do,ph,runtime,message,_id,time,lat,lon,sats,fix
4014a480-37a2-4872-a8b9-b586924b8211,00000,false,1025.75,29.84,6,38.26,0.39,1.5342006020000554,This is a test.,WcGbXdqf7WSvu6ZQ,2023-04-26T10:44:00.210Z,-4.576168333,55.463265,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00001,false,1025.83,29.83,6,38.26,0.4,3.532605890999548,This is a test.,iojDrxAa3do3sBst,2023-04-26T10:44:03.000Z,-4.576161667,55.46329,1,3
4014a480-37a2-4872-a8b9-b586924b8211,00002,false,1025.93,29.83,6,38.26,0.39,5.538372003000404,This is a test.,sMTl1AkNUgN9lI35,2023-04-26T10:44:05.000Z,-4.57616,55.463316667,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00003,false,1027.17,29.83,6,38.26,0.4,7.54056020400094,This is a test.,iPIKmMM284fkXXp5,2023-04-26T10:44:06.212Z,-4.576155,55.46334,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00004,false,1026.52,29.82,6,38.26,0.4,9.54652831599924,This is a test.,yppvpj6skFxgEJCN,2023-04-26T10:44:09.000Z,-4.576153333,55.463353333,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00005,false,1026.77,29.83,6,38.26,0.39,11.547978540000258,This is a test.,1f4yoootVngtWnin,2023-04-26T10:44:11.000Z,-4.576136667,55.463373333,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00006,false,1026.87,29.81,6,38.26,0.41,13.556072605000736,This is a test.,zv1cgPHyoiS6zIu6,2023-04-26T10:44:12.205Z,-4.576128333,55.46337,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00007,false,1026.23,29.81,6,38.26,0.41,15.553637928000171,This is a test.,3er9zKZktWYgfGy3,2023-04-26T10:44:15.000Z,-4.576123333,55.463358333,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00008,false,1026.59,29.82,6,38.26,0.41,17.559718046000853,This is a test.,CQ6j08vCJLgKgw93,2023-04-26T10:44:17.000Z,-4.576115,55.463341667,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00009,false,1026.29,29.82,6,38.26,0.41,19.560458297000878,This is a test.,hpFOcRxGpzBWHFSL,2023-04-26T10:44:18.213Z,-4.576116667,55.463328333,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00010,false,1026.81,29.82,6,38.26,0.41,21.561300547000428,This is a test.,xiYyrVfpwjkKrYWt,2023-04-26T10:44:21.000Z,-4.57612,55.463313333,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00011,false,1026.32,29.81,6,38.26,0.42,23.583233286000905,This is a test.,ckGdZ4QB7zurhBgW,2023-04-26T10:44:23.000Z,-4.576121667,55.463303333,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00012,false,1026.77,29.81,6,38.26,0.42,25.586975469999743,This is a test.,5oyGEaqbUAfC6A8q,2023-04-26T10:44:24.214Z,-4.576138333,55.46329,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00013,false,1026.24,29.82,6,38.26,0.42,27.577893969000797,This is a test.,gK9LzTk9llBqvFj8,2023-04-26T10:44:27.000Z,-4.576151667,55.463285,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00014,false,1026.19,29.81,6,38.26,0.42,29.58942296799978,This is a test.,mnnddCjVZlJmQJgo,2023-04-26T10:44:29.000Z,-4.57615,55.463303333,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00015,false,1027.18,29.81,6,38.26,0.42,31.589771241999188,This is a test.,YUOdYkIhhLOp0q21,2023-04-26T10:44:30.214Z,-4.576141667,55.463338333,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00016,false,1026,29.81,6,38.26,0.43,33.59401542299929,This is a test.,OEXRkM8sLPpLSEiG,2023-04-26T10:44:33.000Z,-4.576131667,55.463358333,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00017,false,1025.85,29.82,5,38.26,0.42,35.59283473799951,This is a test.,p6jevIvjAO3S1lQU,2023-04-26T10:44:35.000Z,-4.576135,55.46336,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00018,false,1025.76,29.81,5,38.26,0.41,37.59580995400029,This is a test.,SbOw33ksJwaKafvZ,2023-04-26T10:44:36.214Z,-4.576145,55.463355,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00019,false,1026.48,29.81,5,38.26,0.42,39.59983914700024,This is a test.,3ETKm4loaM0WvKrd,2023-04-26T10:44:39.000Z,-4.576143333,55.46336,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00020,false,1026.49,29.82,5,38.26,0.42,41.603561350000746,This is a test.,mUIjplHp4RcXwGYZ,2023-04-26T10:44:41.000Z,-4.576143333,55.463356667,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00021,false,1026.02,29.81,5,38.26,0.42,43.607068559000254,This is a test.,lqoeEEoIOgvUIXrB,2023-04-26T10:44:42.219Z,-4.576145,55.46335,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00022,false,1026.65,29.81,5,38.26,0.42,45.61173174299984,This is a test.,lwtWGUbc2z2WgyaK,2023-04-26T10:44:45.000Z,-4.576143333,55.463356667,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00023,false,1026.07,29.81,5,38.26,0.43,47.613889989999734,This is a test.,hGz20JHCOBx4B0UG,2023-04-26T10:44:47.000Z,-4.576145,55.463366667,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00024,false,1026.45,29.81,6,38.26,0.4,49.61958015299933,This is a test.,nkbXp5Gkg7IiQlsj,2023-04-26T10:44:48.219Z,-4.57614,55.46339,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00025,false,1026.07,29.81,5,38.26,0.43,51.62646929000039,This is a test.,mr0BfXVu9qi5TySA,2023-04-26T10:44:51.000Z,-4.576123333,55.463426667,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00026,false,1026.46,29.81,5,38.26,0.45,53.62694458400074,This is a test.,DImpoq49axCgaxfj,2023-04-26T10:44:53.000Z,-4.576105,55.463461667,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00027,false,1026.86,29.82,5,38.26,0.42,55.630337808999684,This is a test.,DRpF5nb2KP1K4KgR,2023-04-26T10:44:54.209Z,-4.57609,55.46349,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00028,false,1025.89,29.81,5,38.26,0.43,57.633462043999316,This is a test.,8GdRVzZlqbPmscBl,2023-04-26T10:44:57.000Z,-4.576071667,55.463523333,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00029,false,1026.48,29.8,5,38.26,0.43,59.637145266000516,This is a test.,Z96osl9ipeX6OGpy,2023-04-26T10:44:59.000Z,-4.57605,55.463563333,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00030,false,1026.03,29.81,5,38.26,0.42,61.63994751199971,This is a test.,Iis7q9W8AzCcReGV,2023-04-26T10:45:00.211Z,-4.57602,55.463616667,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00031,false,1026.39,29.81,5,38.26,0.35,63.64780363799946,This is a test.,i5J8BMCRR60vWq6H,2023-04-26T10:45:03.000Z,-4.575991667,55.463671667,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00032,false,1026.2,29.82,5,38.26,0,65.65001290200053,This is a test.,LdwnF6uVq52qrmI7,2023-04-26T10:45:05.000Z,-4.57597,55.463716667,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00033,false,1026.36,29.82,5,38.26,0,67.65347913900041,This is a test.,r68TxBVfcvWaSTsc,2023-04-26T10:45:06.213Z,-4.57595,55.463748333,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00034,false,1025.88,29.83,5,38.26,0,69.6567473819996,This is a test.,1fXqHIrHUlJxPpp7,2023-04-26T10:45:09.000Z,-4.57593,55.463788333,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00035,false,1026.71,29.83,6,38.26,0,71.66161958799967,This is a test.,B6hmTiI6rDOFuiSf,2023-04-26T10:45:11.000Z,-4.575905,55.463823333,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00036,false,1026,29.83,6,38.26,0,73.66681778800012,This is a test.,yQIvzoZKECsvpOKM,2023-04-26T10:45:12.210Z,-4.57589,55.463845,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00037,false,1026.94,29.83,6,38.26,0.53,75.67702786900009,This is a test.,plNR73GeI0jM2LSu,2023-04-26T10:45:15.000Z,-4.575906667,55.463821667,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00038,false,1026.09,29.83,5,38.26,0.49,77.68263006300003,This is a test.,aiC56KbuHvAwWeQA,2023-04-26T10:45:17.000Z,-4.575913333,55.463801667,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00039,false,1026.23,29.84,5,38.26,0.5,79.68660529999943,This is a test.,SHmzCfzaLyYvDD7Q,2023-04-26T10:45:18.212Z,-4.575925,55.46376,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00040,false,1026.92,29.82,5,38.26,0.5,81.69023854599982,This is a test.,ii6GdxQKgvGrB4dI,2023-04-26T10:45:21.000Z,-4.575921667,55.463726667,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00041,false,1026.94,29.82,5,38.26,0.5,83.69965765400048,This is a test.,biK9vjJhURQe5ln8,2023-04-26T10:45:23.000Z,-4.575928333,55.463686667,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00042,false,1026.88,29.8,5,38.26,0.5,85.69912800599923,This is a test.,Xg90RRXSlQOXGiZM,2023-04-26T10:45:25.000Z,-4.575938333,55.463655,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00043,false,1026.26,29.81,5,38.26,0.49,87.70248126499973,This is a test.,d2MKN3sy5jNCUjFS,2023-04-26T10:45:27.000Z,-4.57594,55.463643333,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00044,false,1026.7,29.8,5,38.26,0.5,89.70497554699978,This is a test.,VDRhCU5y97nwM2Wg,2023-04-26T10:45:29.000Z,-4.575953333,55.463613333,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00045,false,1026.24,29.78,5,38.26,0.5,91.70961078000073,This is a test.,yFJNyAzi2ltcjxwq,2023-04-26T10:45:31.000Z,-4.575975,55.463576667,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00046,false,1026.11,29.79,5,38.26,0.51,93.71686894999948,This is a test.,Noq1l9ADkNUzk6Zx,2023-04-26T10:45:33.000Z,-4.575986667,55.463558333,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00047,false,1025.76,29.79,5,38.26,0.51,95.71931223899992,This is a test.,hul993XTGJLXNQQV,2023-04-26T10:45:35.000Z,-4.576,55.463545,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00048,false,1026.38,29.78,5,38.26,0.51,97.73370224000064,This is a test.,wXf0eBCyURo3JfaO,2023-04-26T10:45:37.000Z,-4.576011667,55.463536667,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00049,false,1026.35,29.78,5,38.26,0.51,99.73377159099982,This is a test.,jsOpRDE71YJxGQgh,2023-04-26T10:45:39.000Z,-4.576028333,55.46352,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00050,false,1026.44,29.78,5,38.26,0.51,101.73847283100076,This is a test.,aPc79ycfzMw24aXL,2023-04-26T10:45:41.000Z,-4.576026667,55.463526667,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00051,false,1026.5,29.78,5,38.26,0.51,103.74183210599949,This is a test.,QjjoQQMvTGdRjsQ8,2023-04-26T10:45:43.000Z,-4.576028333,55.463538333,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00052,false,1026.06,29.77,5,38.26,0.5,105.74556437399951,This is a test.,hTRzxg3fnWX4YpD3,2023-04-26T10:45:45.000Z,-4.576023333,55.463558333,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00053,false,1026.62,29.75,5,38.26,0.5,107.75029361999987,This is a test.,8lcFvlAvxsodWMtT,2023-04-26T10:45:47.000Z,-4.576018333,55.463575,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00054,false,1026.81,29.75,5,38.26,0.51,109.75411488899954,This is a test.,QZoxQIaqBuui8e1j,2023-04-26T10:45:49.000Z,-4.576018333,55.463583333,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00055,false,1025.69,29.76,5,38.26,0.51,111.75892613600081,This is a test.,i1tlIRpnRquSnCb5,2023-04-26T10:45:51.000Z,-4.57602,55.463586667,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00056,false,1025.69,29.76,5,38.26,0.52,113.76270141100031,This is a test.,tpu4WGm8ndFDbo6u,2023-04-26T10:45:53.000Z,-4.576015,55.463598333,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00057,false,1026.5,29.76,5,38.26,0.51,115.77789340900017,This is a test.,dFB1hCywrrAKxEZB,2023-04-26T10:45:55.000Z,-4.576003333,55.46362,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00058,false,1025.69,29.74,5,38.26,0.52,117.77739679099977,This is a test.,QZGXBNHkgcx8ngQS,2023-04-26T10:45:57.000Z,-4.575991667,55.463641667,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00059,false,1026.55,29.75,5,38.26,0.51,119.77754416000062,This is a test.,NW9oWzG1tvDKQzb1,2023-04-26T10:45:59.000Z,-4.575991667,55.463656667,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00060,false,1026.31,29.75,5,38.26,0.51,121.78811727600078,This is a test.,FDaO6urBJ0w6trXz,2023-04-26T10:46:01.000Z,-4.575983333,55.463676667,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00061,false,1026.42,29.74,5,38.26,0.5,123.78436274299929,This is a test.,VEtpetMSGFV8JYod,2023-04-26T10:46:03.000Z,-4.575968333,55.463698333,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00062,false,1026.35,29.75,5,38.26,0.5,125.79061496900067,This is a test.,CKc8O5wsjd7FyeGO,2023-04-26T10:46:05.000Z,-4.575955,55.463725,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00063,false,1026.01,29.74,6,38.26,0.51,127.78424650200031,This is a test.,ruViftpnFBBPSXvy,2023-04-26T10:46:07.000Z,-4.575946667,55.463741667,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00064,false,1026.51,29.74,6,38.26,0.5,129.80556136499945,This is a test.,ucj7o3Zdy9TiIHR3,2023-04-26T10:46:09.000Z,-4.575941667,55.463743333,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00065,false,1025.91,29.74,5,38.26,0,131.81808344400088,This is a test.,1JcO0pJaplQIRUre,2023-04-26T10:46:11.000Z,-4.575931667,55.463756667,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00066,false,1026.53,29.74,6,38.26,0,133.81263096099974,This is a test.,3BBqIyyE9Jx9Cac4,2023-04-26T10:46:13.000Z,-4.575916667,55.463768333,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00067,false,1026.47,29.72,6,38.26,0.12,135.81768122500034,This is a test.,cjGpWEdSPgRmQ7Pi,2023-04-26T10:46:15.000Z,-4.575901667,55.46378,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00068,false,1026.46,29.73,6,38.26,2.27,137.82411745699937,This is a test.,uwVupYgjMQy3TB6M,2023-04-26T10:46:17.000Z,-4.575888333,55.463786667,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00069,false,1026.39,29.75,6,38.26,2.5,139.82534681700054,This is a test.,Vz5JKSvUpxhzajkT,2023-04-26T10:46:19.000Z,-4.575878333,55.463795,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00070,false,1026.71,29.73,6,38.26,2.81,141.81894736499999,This is a test.,WVOWBeT9SpR38LMG,2023-04-26T10:46:21.000Z,-4.575861667,55.463805,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00071,false,1026.89,29.75,6,38.26,2.81,143.8336314019998,This is a test.,PeGBY74QRWwa7yYh,2023-04-26T10:46:23.000Z,-4.575848333,55.463813333,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00072,false,1026.67,29.74,6,38.26,2.82,145.82800293400032,This is a test.,GKtTALhWUzpC8ljI,2023-04-26T10:46:25.000Z,-4.575838333,55.463825,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00073,false,1026.9,29.74,6,38.26,2.81,147.84783384900038,This is a test.,roO9mFIj92IOuWOd,2023-04-26T10:46:27.000Z,-4.575821667,55.463833333,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00074,false,1025.95,29.72,6,38.26,2.78,149.84682027300005,This is a test.,qyp6aQyB0QTp4Zae,2023-04-26T10:46:29.000Z,-4.575806667,55.46384,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00075,false,1025.99,29.72,6,38.26,2.81,151.84970660399995,This is a test.,J0ELqwzRI6JCpyh9,2023-04-26T10:46:31.000Z,-4.575795,55.463846667,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00076,false,1027.73,29.74,5,38.26,2.85,153.8556948610003,This is a test.,StTtLLVJkhCjm7Iv,2023-04-26T10:46:33.000Z,-4.575781667,55.463853333,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00077,false,1027.17,29.75,5,38.26,2.86,155.85010340100052,This is a test.,dG5L1q4mvapdTsao,2023-04-26T10:46:35.000Z,-4.575766667,55.463858333,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00078,false,1028.37,29.77,5,38.26,2.87,157.86595042199951,This is a test.,SrZdKlUmTWX4vQbD,2023-04-26T10:46:37.000Z,-4.575748333,55.463866667,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00079,false,1027.63,29.76,5,38.26,2.87,159.86908975299957,This is a test.,s0YNUUym2clW8YA7,2023-04-26T10:46:39.000Z,-4.575728333,55.463878333,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00080,false,1027.12,29.75,5,38.26,2.85,161.87220908699965,This is a test.,yLIWQpWecaLmHtii,2023-04-26T10:46:41.000Z,-4.575765,55.463855,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00081,false,1027.11,29.73,5,38.26,2.85,163.87553741800002,This is a test.,ebNh55qN4IkRphOP,2023-04-26T10:46:43.000Z,-4.575765,55.463876667,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00082,false,1027.03,29.73,5,38.26,2.84,165.88359263500024,This is a test.,49C5ikGXrbuEgSds,2023-04-26T10:46:45.000Z,-4.575773333,55.463881667,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00083,false,1026.73,29.73,5,38.26,2.84,167.88361704899944,This is a test.,g7Wcbc67XGQ8OQ6x,2023-04-26T10:46:47.000Z,-4.575788333,55.463881667,3,3
4014a480-37a2-4872-a8b9-b586924b8211,00084,false,1026.76,29.72,5,38.26,2.84,169.88520142699963,This is a test.,X3bpk0yVrUV4fjYY,2023-04-26T10:46:49.000Z,-4.575815,55.463871667,3,3
